No.,ID,Vietnames_names,Province,final_lat,final_lon,Giai đoạn 1981-2000,Số năm,Giai đoạn 2011-2020,Số năm.1,elevation,distance_to_coast_km
1,p.ainghiatv,Ái Nghĩa,Quảng Nam,15.883,108.267,1981-2000,20,2011-2020,10,6,8.875618867689768
2,aluoi,A Lưới,Huế,16.22,107.283,1981-2000,20,2011-2020,10,612,49.69270960232954
3,anbien,An Biên/ U Minh Thượng,Kiên Giang,9.698,105.151,1981-2000,20,2011-2017,7,9,18.06815107415454
4,anchi,An Chỉ,Quảng Ngãi,14.99,108.81,1981-2000,20,2011-2020,10,11,13.396676278648615
5,p.anhoatv,An Hòa,Bình Định,14.583828,108.911043,1981-2000,20,2011-2020,10,38,16.34772641840063
6,p.anhuu,An Hữu,Tiền Giang,10.333,105.9,1981-2000,20,2011-2017,7,4,25.78386543107193
7,ankhanh,An Khánh,Hà Nội,20.999,105.719,1981-2000,20,2011-2017,7,9,95.97784467910319
8,ankhe,An Khê,Gia Lai,13.95,108.65,1981-2000,20,2011-2020,10,383,61.00878742892411
9,p.anlai,Án Lại,Cao Bằng,22.717,106.317,1981-2000,20,2011-2017,7,539,190.64835968113647
10,anphu,An Phụ,Hải Dương,20.9877,106.516,1981-2000,20,2011-2020,10,9,13.593368993964344
11,p.anthi,Ân Thi,Hưng Yên,20.8,106.083,1981-2000,20,2011-2017,7,8,53.677242105113365
12,ayunpa,Ayun Pa,Gia Lai,13.42,108.45,1981-2000,20,2011-2020,10,147,84.91571181465456
13,p.bacang,Ba Càng,Vĩnh Long,10.05,105.985,1981-2000,20,2011-2017,7,10,11.81033203557579
14,bacgiang,Bắc Giang,Bắc Giang,21.3,106.217,1981-2000,20,2011-2020,10,12,53.93016926626946
15,p.bache,Ba Chẽ,Quảng Ninh,21.250492,107.097469,1981-2000,20,2011-2017,7,100,23.67954727276173
16,backan,Bắc Kạn,Bắc Kạn,22.15,105.82,1981-2000,20,2011-2020,10,183,151.29181476964968
17,baclieu,Bạc Liêu,Bạc Liêu,9.283,105.717,1981-2000,20,2011-2020,10,6,9.112147437440509
18,camnhuong,Bắc Mê,Hà Giang,22.7419,105.3728,1981-2000,20,2011-2020,10,464,231.3551865026072
19,bacninh,Bắc   Ninh,Bắc   Ninh,21.183,106.083,,,2011-2020,10,12,60.81463465342752
20,bacquang,Bắc Quang,Hà Giang,22.5,104.867,1981-2000,20,2011-2020,10,133,246.0138751407274
21,bacson,Bắc Sơn,Lạng Sơn,21.9,106.317,1981-2000,20,2011-2020,10,407,103.06939970483569
22,bacyen,Bắc Yên,Sơn La,21.25,104.417,1981-2000,20,2011-2020,10,564,217.18934724455448
23,badon,Ba Đồn,Quảng Bình,17.75,106.417,1981-2000,20,2011-2020,10,3,0.4289760569253559
